# refine-cue-timing 全批統計（2026-08-14）

| 集 | 邊界 | 精修 | 保留粗切 | max shift | mean shift | duration |
|---|---|---|---|---|---|---|
| 20210201_032_午間_Atayal_泰雅 | 1120 | 944 | 176 | 0.16s | 0.056s | 2880s |
| 20210201_032_晚間_Amis_阿美 | 1069 | 907 | 162 | 0.14s | 0.056s | 2880s |
| 20210202_033_午間_Kavalan_噶瑪蘭 | 1206 | 1031 | 175 | 0.16s | 0.054s | 2880s |
| 20210202_033_晚間_Yami_雅美 | 1093 | 921 | 172 | 0.14s | 0.055s | 2880s |
| 20210203_034_晚間_Sakizaya_撒奇萊雅 | 1141 | 958 | 183 | 0.16s | 0.054s | 2880s |
| 20210204_035_午間_Truku_太魯閣 | 811 | 704 | 107 | 0.14s | 0.057s | 2118s |
| 20210204_035_晚間_Bunun_布農 | 1210 | 1063 | 147 | 0.16s | 0.056s | 2880s |
| 20210205_036_午間_Rukai_魯凱 | 1245 | 1078 | 167 | 0.16s | 0.055s | 2880s |
| 20210205_036_晚間_SaySiyat_賽夏 | 1116 | 959 | 157 | 0.16s | 0.055s | 2880s |
| 20210206_037_午間_Seediq_賽德克 | 1217 | 1024 | 193 | 0.16s | 0.054s | 2880s |
| 20210206_037_晚間_Paiwan_排灣 | 1289 | 1139 | 150 | 0.20s | 0.050s | 2960s |
| 20210206_037_晨間_Thau_邵 | 1148 | 1000 | 148 | 0.16s | 0.049s | 2880s |
| 20210207_038_午間_Kanakanavu_卡那卡那富 | 1351 | 1119 | 232 | 0.16s | 0.055s | 2950s |
| 20210207_038_晚間_Pinuyumayan_卑南 | 1124 | 966 | 158 | 0.16s | 0.050s | 2880s |
| 20210207_038_晨間_Hla'alua_拉阿魯哇 | 1023 | 879 | 144 | 0.16s | 0.050s | 2950s |
| 20210208_039_午間_Atayal_泰雅 | 1061 | 922 | 139 | 0.16s | 0.054s | 2880s |
| 20210208_039_晚間_Amis_阿美 | 1044 | 887 | 157 | 0.16s | 0.055s | 2880s |
| 20210209_040_午間_Kavalan_噶瑪蘭 | 902 | 824 | 78 | 0.14s | 0.056s | 2880s |
| 20210209_040_晚間_Yami_雅美 | 1030 | 916 | 114 | 0.16s | 0.049s | 2880s |
| 20210210_041_午間_Cou_鄒 | 247 | 209 | 38 | 0.16s | 0.048s | 674s |
| 20210210_041_晚間_Sakizaya_撒奇萊雅 | 465 | 418 | 47 | 0.16s | 0.049s | 1500s |
| 20210211_042_午間_Truku_太魯閣 | 498 | 419 | 79 | 0.14s | 0.055s | 1500s |
| 20210211_042_晚間_Bunun_布農 | 545 | 479 | 66 | 0.14s | 0.049s | 1500s |
| 20210212_043_午間_Rukai_魯凱 | 442 | 358 | 84 | 0.14s | 0.057s | 1470s |
| 20210212_043_晚間_SaySiyat_賽夏 | 537 | 469 | 68 | 0.16s | 0.048s | 1470s |
| 20210213_044_午間_Seediq_賽德克 | 652 | 547 | 105 | 0.16s | 0.056s | 1440s |
| 20210213_044_晚間_Paiwan_排灣 | 663 | 562 | 101 | 0.16s | 0.050s | 1500s |
| 20210213_044_晨間_Thau_邵 | 598 | 517 | 81 | 0.16s | 0.052s | 1440s |
| 20210214_045_午間_Kanakanavu_卡那卡那富 | 619 | 540 | 79 | 0.16s | 0.055s | 1500s |
| 20210214_045_晚間_Pinuyumayan_卑南 | 271 | 222 | 49 | 0.14s | 0.050s | 1440s |
| 20210214_045_晨間_Hla'alua_拉阿魯哇 | 514 | 478 | 36 | 0.20s | 0.051s | 1500s |
| 20210215_046_午間_Atayal_泰雅 | 354 | 248 | 106 | 0.16s | 0.057s | 1440s |
| 20210216_047_午間_Kavalan_噶瑪蘭 | 478 | 412 | 66 | 0.16s | 0.056s | 1440s |
| 20210217_048_午間_Cou_鄒 | 1124 | 982 | 142 | 0.16s | 0.057s | 2880s |
| 20210218_049_午間_Truku_太魯閣 | 1065 | 908 | 157 | 0.16s | 0.057s | 2940s |

合計：30272 個邊界、精修 26009（85.9%）、保留粗切 4263；
全部 max shift ≤ 0.20s（安全網內）；SRT 文字層 35 集逐行相同、0 merge 翻轉。
